mesh name,type,free boundary,flipping order,flip iteration,flips / start iterations,energy,time,hop
fig14_hencky.obj,2,0,edge order,0,-1,0.000281308,-1,-1
fig14_hencky.obj,2,0,edge order,1,81114,0.000281276,9517,-1
fig14_hencky.obj,2,0,edge order,2,18155,0.000281271,10010,-1
fig14_hencky.obj,2,0,edge order,3,2055,0.000281271,10115,-1
fig14_hencky.obj,2,0,edge order,4,121,0.000281271,10139,-1
fig14_hencky.obj,2,0,edge order,5,4,0.000281271,10142,-1
fig14_hencky.obj,2,0,edge order,6,0,0.000281271,10125,-1
fig14_hencky.obj,2,0,greedy,0,-1,0.000281308,-1,-1
fig14_hencky.obj,2,0,greedy,1,64383,0.000281283,10172,-1
fig14_hencky.obj,2,0,greedy,2,24193,0.000281274,10177,-1
fig14_hencky.obj,2,0,greedy,3,9146,0.000281272,10130,-1
fig14_hencky.obj,2,0,greedy,4,2877,0.000281271,10152,-1
fig14_hencky.obj,2,0,greedy,5,869,0.000281271,10182,-1
fig14_hencky.obj,2,0,greedy,6,239,0.000281271,10136,-1
fig14_hencky.obj,2,0,greedy,7,60,0.000281271,10146,-1
fig14_hencky.obj,2,0,greedy,8,12,0.000281271,10169,-1
fig14_hencky.obj,2,0,greedy,9,4,0.000281271,10289,-1
fig14_hencky.obj,2,0,greedy,10,1,0.000281271,10305,-1
fig14_hencky.obj,2,0,greedy,11,0,0.000281271,10364,-1
fig14_hencky.obj,2,0,random,0,-1,0.000281308,-1,-1
fig14_hencky.obj,2,0,random,1,80772,0.000281276,10043,-1
fig14_hencky.obj,2,0,random,2,17990,0.000281272,10555,-1
fig14_hencky.obj,2,0,random,3,2691,0.000281271,10633,-1
fig14_hencky.obj,2,0,random,4,274,0.000281271,10686,-1
fig14_hencky.obj,2,0,random,5,22,0.000281271,10676,-1
fig14_hencky.obj,2,0,random,6,2,0.000281271,10646,-1
fig14_hencky.obj,2,0,random,7,0,0.000281271,10682,-1
fig14_hencky.obj,2,0,heuristic,0,-1,0.000281308,-1,-1
fig14_hencky.obj,2,0,heuristic,1,64383,0.000281283,10558,-1
fig14_hencky.obj,2,0,heuristic,2,24193,0.000281274,10501,-1
fig14_hencky.obj,2,0,heuristic,3,9146,0.000281272,10479,-1
fig14_hencky.obj,2,0,heuristic,4,2877,0.000281271,10524,-1
fig14_hencky.obj,2,0,heuristic,5,869,0.000281271,10537,-1
fig14_hencky.obj,2,0,heuristic,6,239,0.000281271,10556,-1
fig14_hencky.obj,2,0,heuristic,7,60,0.000281271,10504,-1
fig14_hencky.obj,2,0,heuristic,8,12,0.000281271,10528,-1
fig14_hencky.obj,2,0,heuristic,9,4,0.000281271,10505,-1
fig14_hencky.obj,2,0,heuristic,10,1,0.000281271,10564,-1
fig14_hencky.obj,2,0,heuristic,11,0,0.000281271,10528,-1
fig14_hencky.obj,3,0,edge order,0,-1,7.46507e-07,-1,-1
fig14_hencky.obj,3,0,edge order,1,84046,7.14326e-07,9840,-1
fig14_hencky.obj,3,0,edge order,2,19313,7.09941e-07,10347,-1
fig14_hencky.obj,3,0,edge order,3,2238,7.09589e-07,10415,-1
fig14_hencky.obj,3,0,edge order,4,127,7.09579e-07,10427,-1
fig14_hencky.obj,3,0,edge order,5,4,7.09579e-07,10784,-1
fig14_hencky.obj,3,0,edge order,6,0,7.09579e-07,10383,-1
fig14_hencky.obj,3,0,greedy,0,-1,7.46507e-07,-1,-1
fig14_hencky.obj,3,0,greedy,1,66415,7.21372e-07,10322,-1
fig14_hencky.obj,3,0,greedy,2,25281,7.12704e-07,10156,-1
fig14_hencky.obj,3,0,greedy,3,9897,7.10437e-07,10192,-1
fig14_hencky.obj,3,0,greedy,4,3167,7.09797e-07,10194,-1
fig14_hencky.obj,3,0,greedy,5,979,7.09625e-07,10254,-1
fig14_hencky.obj,3,0,greedy,6,264,7.09589e-07,10459,-1
fig14_hencky.obj,3,0,greedy,7,73,7.09582e-07,10628,-1
fig14_hencky.obj,3,0,greedy,8,17,7.0958e-07,10430,-1
fig14_hencky.obj,3,0,greedy,9,6,7.0958e-07,10447,-1
fig14_hencky.obj,3,0,greedy,10,2,7.09579e-07,10411,-1
fig14_hencky.obj,3,0,greedy,11,0,7.09579e-07,10421,-1
fig14_hencky.obj,3,0,random,0,-1,7.46507e-07,-1,-1
fig14_hencky.obj,3,0,random,1,83518,7.14534e-07,10095,-1
fig14_hencky.obj,3,0,random,2,19192,7.10156e-07,10581,-1
fig14_hencky.obj,3,0,random,3,2994,7.09653e-07,10695,-1
fig14_hencky.obj,3,0,random,4,336,7.09582e-07,10693,-1
fig14_hencky.obj,3,0,random,5,29,7.09579e-07,10723,-1
fig14_hencky.obj,3,0,random,6,1,7.09579e-07,10695,-1
fig14_hencky.obj,3,0,random,7,0,7.09579e-07,10702,-1
fig14_hencky.obj,3,0,heuristic,0,-1,7.46507e-07,-1,-1
fig14_hencky.obj,3,0,heuristic,1,66415,7.21372e-07,10688,-1
fig14_hencky.obj,3,0,heuristic,2,25281,7.12704e-07,10660,-1
fig14_hencky.obj,3,0,heuristic,3,9897,7.10437e-07,16004,-1
