mesh name,type,free boundary,flipping order,flip iteration,flips / start iterations,energy,time
fig14_hencky.obj,2,0,start,0,-1,0.000281308,-1
fig14_hencky.obj,2,0,edge order,1,81114,0.000281276,9517
fig14_hencky.obj,2,0,edge order,2,18155,0.000281271,10010
fig14_hencky.obj,2,0,edge order,3,2055,0.000281271,10115
fig14_hencky.obj,2,0,edge order,4,121,0.000281271,10139
fig14_hencky.obj,2,0,edge order,5,4,0.000281271,10142
fig14_hencky.obj,2,0,edge order,6,0,0.000281271,10125
fig14_hencky.obj,2,0,greedy,1,64383,0.000281283,10172
fig14_hencky.obj,2,0,greedy,2,24193,0.000281274,10177
fig14_hencky.obj,2,0,greedy,3,9146,0.000281272,10130
fig14_hencky.obj,2,0,greedy,4,2877,0.000281271,10152
fig14_hencky.obj,2,0,greedy,5,869,0.000281271,10182
fig14_hencky.obj,2,0,greedy,6,239,0.000281271,10136
fig14_hencky.obj,2,0,greedy,7,60,0.000281271,10146
fig14_hencky.obj,2,0,greedy,8,12,0.000281271,10169
fig14_hencky.obj,2,0,greedy,9,4,0.000281271,10289
fig14_hencky.obj,2,0,greedy,10,1,0.000281271,10305
fig14_hencky.obj,2,0,greedy,11,0,0.000281271,10364
fig14_hencky.obj,2,0,random,1,80772,0.000281276,10043
fig14_hencky.obj,2,0,random,2,17990,0.000281272,10555
fig14_hencky.obj,2,0,random,3,2691,0.000281271,10633
fig14_hencky.obj,2,0,random,4,274,0.000281271,10686
fig14_hencky.obj,2,0,random,5,22,0.000281271,10676
fig14_hencky.obj,2,0,random,6,2,0.000281271,10646
fig14_hencky.obj,2,0,random,7,0,0.000281271,10682
fig14_hencky.obj,2,0,heuristic,1,64383,0.000281283,10558
fig14_hencky.obj,2,0,heuristic,2,24193,0.000281274,10501
fig14_hencky.obj,2,0,heuristic,3,9146,0.000281272,10479
fig14_hencky.obj,2,0,heuristic,4,2877,0.000281271,10524
fig14_hencky.obj,2,0,heuristic,5,869,0.000281271,10537
fig14_hencky.obj,2,0,heuristic,6,239,0.000281271,10556
fig14_hencky.obj,2,0,heuristic,7,60,0.000281271,10504
fig14_hencky.obj,2,0,heuristic,8,12,0.000281271,10528
fig14_hencky.obj,2,0,heuristic,9,4,0.000281271,10505
fig14_hencky.obj,2,0,heuristic,10,1,0.000281271,10564
fig14_hencky.obj,2,0,heuristic,11,0,0.000281271,10528
fig14_hencky.obj,3,0,start,0,-1,7.46507e-07,-1
fig14_hencky.obj,3,0,edge order,1,84046,7.14326e-07,9840
fig14_hencky.obj,3,0,edge order,2,19313,7.09941e-07,10347
fig14_hencky.obj,3,0,edge order,3,2238,7.09589e-07,10415
fig14_hencky.obj,3,0,edge order,4,127,7.09579e-07,10427
fig14_hencky.obj,3,0,edge order,5,4,7.09579e-07,10784
fig14_hencky.obj,3,0,edge order,6,0,7.09579e-07,10383
fig14_hencky.obj,3,0,greedy,1,66415,7.21372e-07,10322
fig14_hencky.obj,3,0,greedy,2,25281,7.12704e-07,10156
fig14_hencky.obj,3,0,greedy,3,9897,7.10437e-07,10192
fig14_hencky.obj,3,0,greedy,4,3167,7.09797e-07,10194
fig14_hencky.obj,3,0,greedy,5,979,7.09625e-07,10254
fig14_hencky.obj,3,0,greedy,6,264,7.09589e-07,10459
fig14_hencky.obj,3,0,greedy,7,73,7.09582e-07,10628
fig14_hencky.obj,3,0,greedy,8,17,7.0958e-07,10430
fig14_hencky.obj,3,0,greedy,9,6,7.0958e-07,10447
fig14_hencky.obj,3,0,greedy,10,2,7.09579e-07,10411
fig14_hencky.obj,3,0,greedy,11,0,7.09579e-07,10421
fig14_hencky.obj,3,0,random,1,83518,7.14534e-07,10095
fig14_hencky.obj,3,0,random,2,19192,7.10156e-07,10581
fig14_hencky.obj,3,0,random,3,2994,7.09653e-07,10695
fig14_hencky.obj,3,0,random,4,336,7.09582e-07,10693
fig14_hencky.obj,3,0,random,5,29,7.09579e-07,10723
fig14_hencky.obj,3,0,random,6,1,7.09579e-07,10695
fig14_hencky.obj,3,0,random,7,0,7.09579e-07,10702
fig14_hencky.obj,3,0,heuristic,1,66415,7.21372e-07,10688
fig14_hencky.obj,3,0,heuristic,2,25281,7.12704e-07,10660
fig14_hencky.obj,3,0,heuristic,3,9897,7.10437e-07,16004
fig14_hencky.obj,3,0,heuristic,4,3167,7.09797e-07,15177
fig14_hencky.obj,3,0,heuristic,5,979,7.09625e-07,14406
fig14_hencky.obj,3,0,heuristic,6,264,7.09589e-07,14782
fig14_hencky.obj,3,0,heuristic,7,73,7.09582e-07,14501
fig14_hencky.obj,3,0,heuristic,8,17,7.0958e-07,14472
fig14_hencky.obj,3,0,heuristic,9,6,7.0958e-07,14569
fig14_hencky.obj,3,0,heuristic,10,2,7.09579e-07,14380
fig14_hencky.obj,3,0,heuristic,11,0,7.09579e-07,14495
fig14_hencky.obj,4,0,start,0,1,1.38752,-1
fig14_hencky.obj,4,0,edge order,1,144656,1.37881,12633
fig14_hencky.obj,4,0,edge order,2,50995,1.37256,11952
fig14_hencky.obj,4,0,edge order,3,11961,1.37049,11135
fig14_hencky.obj,4,0,edge order,4,2235,1.36999,11031
fig14_hencky.obj,4,0,edge order,5,369,1.36987,9420
fig14_hencky.obj,4,0,edge order,6,53,1.36985,8190
fig14_hencky.obj,4,0,edge order,7,9,1.36985,8116
fig14_hencky.obj,4,0,edge order,8,0,1.36985,8086
