mesh_name,type,is_free_boundary,flipping_order,iteration,is_flip,int_energy,ext_energy,conformal_min,conformal_max,isometric_min,conformal_min_int,conformal_max_int,isometric_min_int,isometric_max,auhalic_min,authalic_max,isometric_max_int,auhalic_min_int,authalic_max_int,ext_flip_percentage,ext_max_area_dist,ext_avg_area_err,ext_max_angle_dist,ext_avg_angle_error,int_flip_percentage,int_max_area_dist,int_avg_area_err,int_max_angle_dist,int_avg_angle_error,time
fig14_hencky.obj,0,0,greedy,0,0,0.000281308,0.000281308,1.86698e-07,1.4077,0.999865,1.86698e-07,1.4077,0.999865,1.41398,0.997535,1,1.41398,0.997535,1,0,4.05277,288.283,6868.53,20.3507,0,9.01071,288.283,6868.53,1057.16,90735
fig14_hencky.obj,0,0,greedy,1,1,0.000281271,0.000281308,1.86698e-07,1.4077,0.999865,1.86698e-07,1.4077,0.999865,1.41398,0.997535,1,1.41398,0.997535,1,0,4.05277,288.283,6868.53,20.3507,0,9.01071,288.283,6868.53,1107.52,121348
fig14_hencky.obj,0,0,greedy,2,0,0.000281256,0.000281349,3.33672e-07,1.4077,0.999865,3.15189e-07,1.4077,0.999865,1.41398,0.997519,1.00273,1.41398,0.997519,1,3.03635e-05,4.09204,288.335,6868.53,20.1387,0,9.08135,288.335,6868.53,1063.01,104962
fig14_hencky.obj,1,0,greedy,0,0,7.46507e-07,7.46507e-07,1.86698e-07,1.4077,0.999865,1.86698e-07,1.4077,0.999865,1.41398,0.997535,1,1.41398,0.997535,1,0,4.05277,288.283,6868.53,20.3507,0,9.01071,288.283,6868.53,1057.16,264954
fig14_hencky.obj,1,0,greedy,1,1,7.09579e-07,7.46507e-07,1.86698e-07,1.4077,0.999865,1.86698e-07,1.4077,0.999865,1.41398,0.997535,1,1.41398,0.997535,1,0,4.05277,288.283,6868.53,20.3507,0,9.01071,288.283,6868.53,1108.68,117642
fig14_hencky.obj,1,0,greedy,2,0,6.94842e-07,7.88354e-07,3.69376e-07,1.4077,0.999865,3.69376e-07,1.4077,0.999865,1.41398,0.997519,1.00273,1.41398,0.997519,1,3.37372e-05,4.09204,288.335,6868.53,20.1389,0,9.08135,288.335,6868.53,1064.11,303732
fig14_hencky.obj,2,1,greedy,0,0,0.000193335,0.000193335,0.000256974,0.0889805,1.4119,0.000256974,0.0889805,1.4119,1.41491,1,1.00198,1.41491,1,1.00198,1,-2.00009,668.225,-0.450426,15.8479,1,-2.0004,668.225,-0.450426,823.252,259418
fig14_hencky.obj,2,1,greedy,1,1,0.000193324,0.000193335,0.000256974,0.0889805,1.4119,0.000257221,0.0875434,1.41251,1.41491,1,1.00198,1.41462,1,1.00192,1,-2.00009,668.225,-0.450426,15.8479,1,-2.0004,668.225,-0.521575,831.789,116144
fig14_hencky.obj,2,1,greedy,2,0,0.000195584,0.000195617,0.000260136,0.119705,1.36698,0.000261935,0.0835734,1.41293,1.41452,0.999342,1.00328,1.41452,1,1.00175,0.99997,1.78298,673.36,45.9639,15.5585,1,-2.00042,673.36,-0.642186,781.924,283524
fig14_hencky.obj,3,0,greedy,0,0,1.9594,1.9594,1.86698e-07,1.4077,0.999865,1.86698e-07,1.4077,0.999865,1.41398,0.997535,1,1.41398,0.997535,1,0,4.05277,288.283,6868.53,20.3507,0,9.01071,288.283,6868.53,1057.16,95118
fig14_hencky.obj,3,0,greedy,1,0,1.38752,1.38752,0.00157506,1.81896,0.661053,0.00157506,1.81896,0.661053,1.59756,0.51208,1.86839,1.59756,0.51208,1.86839,0.55554,1.47999,536.717,414851,736.761,0.55554,-1.98422,536.717,414851,38272.7,131072
fig14_hencky.obj,3,0,greedy,2,1,1.37158,1.38752,0.00157506,1.81896,0.661053,1.86698e-07,1.4077,0.999865,1.59756,0.51208,1.86839,1.41398,0.981345,1.00773,0,4.05277,288.283,6868.53,20.3507,0.00376844,81.6861,288.283,11434.7,1138.84,193836
fig14_hencky.obj,3,0,greedy,3,0,1.01661,1.02793,0.00226501,8.6501,0.168933,0.00227175,8.71826,0.142406,5.35778,0.000131031,18.4733,5.36221,4.58835e-06,34.3633,0.309977,6.71204,430.947,1.83996e+06,653.08,0.311313,-1.98622,430.947,114801,27151.9,153680
fig14_hencky.obj,3,0,greedy,4,1,1.0148,1.02793,0.00226501,8.6501,0.168933,1.86698e-07,1.4077,0.999865,5.35778,0.000131031,18.4733,1.41398,0.981345,1.00481,0,4.05277,288.283,6868.53,20.3507,0.00333323,81.6861,288.283,11434.7,1117.45,146528
fig14_hencky.obj,3,0,greedy,5,0,1.00606,1.01794,0.00239833,12.2287,0.306755,0.0015423,9.0201,0.262574,7.93068,8.34921e-05,20.3986,5.61036,4.34061e-05,35.9853,0.299212,10.8814,430.957,32521.2,660.775,0.301546,-1.98822,430.957,45805.7,28424.2,147570
